safe_yaml,1.0.4,MIT,SameYAML provides an alternative implementation of YAML.load suitable for accepting user input in Ruby applications.,Parse YAML safely
sanitize,3.0.3,MIT,Whitelist-based HTML and CSS sanitizer.,"Sanitize is a whitelist-based HTML and CSS sanitizer. Given a list of acceptable elements, attributes, and CSS properties, Sanitize will remove all unacceptable HTML and/or CSS from a string."
sass,3.2.19,MIT,A powerful but elegant CSS compiler that makes CSS fun again.,"Sass makes CSS fun again. Sass is an extension of CSS3, adding
      nested rules, variables, mixins, selector inheritance, and more.
      It's translated to well-formatted, standard CSS using the
      command line tool or a web-framework plugin."
sass-rails,4.0.3,MIT,Sass adapter for the Rails asset pipeline.,Sass adapter for the Rails asset pipeline.
selenium-webdriver,2.44.0,Apache,The next generation developer focused tool for automated testing of webapps,"WebDriver is a tool for writing automated tests of websites. It aims to mimic the behaviour of a real user, and as such interacts with the HTML of the application."
shoulda-matchers,2.7.0,MIT,Making tests easy on the fingers and eyes,Making tests easy on the fingers and eyes
sidekiq,2.15.2,LGPL,"Simple, efficient background processing for Ruby","Simple, efficient background processing for Ruby"
sidekiq-failures,0.2.2,MIT,Keeps track of Sidekiq failed jobs and adds a tab to the Web UI to let you browse them. Makes use of Sidekiq's custom tabs and middleware chain.,Keep track of Sidekiq failed jobs
sidekiq-unique-jobs,3.0.0,LGPL,The unique jobs that were removed from sidekiq,The unique jobs that were removed from sidekiq
sidetiq,0.4.3,New BSD,Recurring jobs for Sidekiq,Recurring jobs for Sidekiq
signet,0.4.5,Apache 2.0,Signet is an OAuth 1.0 / OAuth 2.0 implementation.,Signet is an OAuth 1.0 / OAuth 2.0 implementation.
simple_form,1.4.1,MIT,Forms made easy!,Forms made easy!
sinatra,1.4.4,MIT,Classy web-development dressed in a DSL,Sinatra is a DSL for quickly creating web applications in Ruby with minimal effort.
slop,3.6.0,MIT,Simple Lightweight Option Parsing,A simple DSL for gathering options and parsing the command line
spring,1.1.2,MIT,Rails application preloader,Rails application preloader
sprockets,2.11.0,MIT,Rack-based asset packaging system,"Sprockets is a Rack-based asset packaging system that concatenates and serves JavaScript, CoffeeScript, CSS, LESS, Sass, and SCSS."
sprockets-rails,2.2.0,MIT,Sprockets Rails integration,""
stringex,2.0.3,MIT,Some [hopefully] useful extensions to Ruby's String class,"Some [hopefully] useful extensions to Ruby's String class. Stringex is made up of three libraries: ActsAsUrl [permalink solution with better character translation], Unidecoder [Unicode to ASCII transliteration], and StringExtensions [miscellaneous helper methods for the String class]."
thor,0.19.1,MIT,Thor is a toolkit for building powerful command-line interfaces.,Thor is a toolkit for building powerful command-line interfaces.
thread_safe,0.3.4,Apache 2.0,A collection of data structures and utilities to make thread-safe programming in Ruby easier,Thread-safe collections and utilities for Ruby
tilt,1.4.1,MIT,Generic interface to multiple Ruby template engines,Generic interface to multiple Ruby template engines
timecop,0.6.1,MIT,"A gem providing ""time travel"" and ""time freezing"" capabilities, making it dead simple to test time-dependent code.  It provides a unified method to mock Time.now, Date.today, and DateTime.now in a single call.","A gem providing ""time travel"" and ""time freezing"" capabilities, making it dead simple to test time-dependent code.  It provides a unified method to mock Time.now, Date.today, and DateTime.now in a single call."
timers,1.1.0,MIT,"Schedule procs to run after a certain time, or at periodic intervals, using any API that accepts a timeout",Pure Ruby one-shot and periodic timers
treetop,1.4.15,MIT,A Ruby-based text parsing and interpretation DSL,""
tzinfo,1.2.2,MIT,Daylight savings aware timezone library,TZInfo provides daylight savings aware transformations between times in different time zones.
uglifier,2.1.1,MIT,Ruby wrapper for UglifyJS JavaScript compressor,""
unicorn,4.6.3,"GPLv2,GPLv3,Ruby 1.8",Rack HTTP server for fast clients and Unix,"\Unicorn is an HTTP server for Rack applications designed to only serve
fast clients on low-latency, high-bandwidth connections and take
advantage of features in Unix/Unix-like kernels.  Slow clients should
only be served by placing a reverse proxy capable of fully buffering
both the the request and response in between \Unicorn and slow clients."
uuidtools,2.1.4,Apache 2.0,UUID generator,A simple universally unique ID generation library.
virtus,0.5.5,MIT,Attributes on Steroids for Plain Old Ruby Objects,Attributes on Steroids for Plain Old Ruby Objects
webmock,1.20.4,MIT,Library for stubbing HTTP requests in Ruby.,WebMock allows stubbing HTTP requests and setting expectations on HTTP requests.
websocket,1.2.1,MIT,Universal Ruby library to handle WebSocket protocol,Universal Ruby library to handle WebSocket protocol
xpath,2.0.0,MIT,Generate XPath expressions from Ruby,XPath is a Ruby DSL for generating XPath expressions
